model,ship_id,val_rows,R1,R3,R5,gallery_count,ship_max_day_fraction,ship_top3_day_fraction,majority_date_global_fraction,ship_concentration_bin,global_spike_bin,gallery_count_bin,Score
debug_ensemble_5normal,277,22,0.0,0.0,0.0,166,0.12650602409638553,0.35542168674698793,0.019878520154610713,<=25%,<=10%,Q4_high_count,0.0
debug_ensemble_5normal,278,11,0.0,0.0,0.0,36,0.3888888888888889,0.9444444444444444,0.027210884353741496,25-50%,<=10%,Q1_low_count,0.0
debug_ensemble_5normal,280,13,0.0,0.0,0.0,85,0.29411764705882354,0.6823529411764706,0.125,25-50%,10-20%,Q4_high_count,0.0
debug_ensemble_5normal,283,6,0.0,0.0,0.16666666666666666,36,0.16666666666666666,0.5,0.019955654101995565,<=25%,<=10%,Q1_low_count,0.03333333333333333
debug_ensemble_5normal,288,9,0.0,0.1111111111111111,0.1111111111111111,28,0.32142857142857145,0.8214285714285714,0.06478658536585366,25-50%,<=10%,Q1_low_count,0.05555555555555555
debug_ensemble_5normal,293,7,0.14285714285714285,0.14285714285714285,0.14285714285714285,34,0.4117647058823529,1.0,0.012957317073170731,25-50%,<=10%,Q1_low_count,0.14285714285714285
debug_ensemble_5normal,298,15,0.0,0.0,0.0,105,0.5238095238095238,0.7333333333333333,0.12195121951219512,50-75%,10-20%,Q4_high_count,0.0
debug_ensemble_5normal,305,19,0.0,0.0,0.0,112,0.1875,0.5089285714285714,0.1706239646604086,<=25%,10-20%,Q4_high_count,0.0
debug_ensemble_5normal,307,9,0.0,0.0,0.0,65,0.3230769230769231,0.8615384615384616,0.04656319290465632,25-50%,<=10%,Q3,0.0
debug_ensemble_5normal,313,13,0.0,0.0,0.0,70,0.21428571428571427,0.5714285714285714,0.16920731707317074,<=25%,10-20%,Q3,0.0
debug_ensemble_5normal,319,12,0.0,0.0,0.0,91,0.18681318681318682,0.5054945054945055,0.07327586206896551,<=25%,<=10%,Q4_high_count,0.0
debug_ensemble_5normal,327,7,0.0,0.0,0.0,38,0.2631578947368421,0.5526315789473685,0.034787410270568746,25-50%,<=10%,Q2,0.0
debug_ensemble_5normal,328,19,0.0,0.0,0.0,84,0.19047619047619047,0.5119047619047619,0.05135284373274434,<=25%,<=10%,Q4_high_count,0.0
debug_ensemble_5normal,335,9,0.0,0.0,0.0,37,0.5945945945945946,1.0,0.6658595641646489,50-75%,>50%,Q2,0.0
debug_ensemble_5normal,345,10,0.0,0.0,0.0,63,0.3333333333333333,0.8095238095238095,0.036443953616786304,25-50%,<=10%,Q3,0.0
debug_ensemble_5normal,348,7,0.0,0.0,0.0,39,0.1794871794871795,0.4358974358974359,0.0491307634164777,<=25%,<=10%,Q2,0.0
debug_ensemble_5normal,355,9,0.0,0.1111111111111111,0.1111111111111111,28,0.5,1.0,0.22518159806295399,25-50%,20-50%,Q1_low_count,0.05555555555555555
debug_ensemble_5normal,356,12,0.08333333333333333,0.08333333333333333,0.08333333333333333,36,1.0,1.0,0.28512396694214875,>75%,20-50%,Q2,0.08333333333333333
debug_ensemble_5normal,360,21,0.0,0.047619047619047616,0.09523809523809523,123,0.4065040650406504,0.7723577235772358,0.16920731707317074,25-50%,10-20%,Q4_high_count,0.03333333333333333
debug_ensemble_5normal,361,12,0.0,0.0,0.0,81,0.14814814814814814,0.3333333333333333,0.02418745275888133,<=25%,<=10%,Q4_high_count,0.0
projection_clip_trainonly,3,16,0.0,0.0,0.0,99,0.31313131313131315,0.6767676767676768,0.6658595641646489,25-50%,>50%,Q4_high_count,0.0
projection_clip_trainonly,7,13,0.0,0.0,0.0,66,0.3333333333333333,0.7575757575757576,0.17073170731707318,25-50%,10-20%,Q3,0.0
projection_clip_trainonly,11,12,0.0,0.08333333333333333,0.16666666666666666,25,0.8,1.0,0.056402439024390245,>75%,<=10%,Q1_low_count,0.058333333333333334
projection_clip_trainonly,13,8,0.0,0.0,0.0,44,0.20454545454545456,0.4090909090909091,0.6658595641646489,<=25%,>50%,Q2,0.0
projection_clip_trainonly,14,9,0.0,0.0,0.0,34,0.3235294117647059,0.7941176470588235,0.06478658536585366,25-50%,<=10%,Q1_low_count,0.0
projection_clip_trainonly,20,18,0.0,0.0,0.0,133,0.17293233082706766,0.41353383458646614,0.023743787962451683,<=25%,<=10%,Q4_high_count,0.0
projection_clip_trainonly,30,66,0.0,0.0,0.0,422,0.10900473933649289,0.2914691943127962,0.04417448923246825,<=25%,<=10%,Q4_high_count,0.0
projection_clip_trainonly,32,23,0.0,0.0,0.0,155,0.12903225806451613,0.2838709677419355,0.03257868580894534,<=25%,<=10%,Q4_high_count,0.0
projection_clip_trainonly,34,8,0.0,0.0,0.0,52,0.17307692307692307,0.4423076923076923,0.018221976808393152,<=25%,<=10%,Q3,0.0
projection_clip_trainonly,38,10,0.0,0.0,0.0,62,0.3548387096774194,0.6129032258064516,0.050997782705099776,25-50%,<=10%,Q3,0.0
projection_clip_trainonly,43,28,0.0,0.0,0.0,51,0.6274509803921569,1.0,0.059083379348426286,50-75%,<=10%,Q2,0.0
projection_clip_trainonly,50,6,0.0,0.0,0.0,35,0.34285714285714286,0.8571428571428571,0.16920731707317074,25-50%,10-20%,Q1_low_count,0.0
projection_clip_trainonly,52,13,0.0,0.0,0.07692307692307693,70,0.34285714285714286,0.7142857142857143,0.056402439024390245,25-50%,<=10%,Q3,0.015384615384615385
projection_clip_trainonly,53,20,0.0,0.0,0.0,141,0.23404255319148937,0.5319148936170213,0.03552532123960695,<=25%,<=10%,Q4_high_count,0.0
