model,date_basis,date,n,pred_top1_ships,true_ships,gallery_day_count,gallery_day_fraction,pred_gallery_count_mean,pred_ship_max_day_fraction_mean,hit1,hit3,hit5,Score
quick_target100_mel96_f16000,pred_top1_majority_date,2020-07-31,7,1,5,65.0,0.268595041322314,12.0,1.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.3142857142857143
quick_target100_mel96_f16000,pred_top1_majority_date,2020-08-01,13,2,11,74.0,0.0564024390243902,30.384615384615383,0.7538461538461539,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385
quick_target100_mel96_f16000,pred_top1_majority_date,2020-08-03,4,1,4,27.0,0.0205792682926829,23.0,0.5652173913043478,0.0,0.0,0.25,0.05
quick_target100_mel96_f16000,pred_top1_majority_date,2020-08-04,9,1,9,17.0,0.0129573170731707,34.0,0.4117647058823529,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.13333333333333333
quick_target100_mel96_f16000,pred_top1_majority_date,2020-08-05,3,1,2,25.0,0.0190548780487804,42.0,0.5952380952380952,0.0,0.0,0.0,0.0
quick_target100_mel96_f16000,pred_top1_majority_date,2020-08-11,1,1,1,56.0,0.0426829268292682,48.0,0.5625,0.0,0.0,0.0,0.0
quick_target100_mel96_f16000,pred_top1_majority_date,2020-08-13,2,1,2,49.0,0.0373475609756097,28.0,0.3571428571428571,0.0,0.0,0.0,0.0
quick_target100_mel96_f16000,pred_top1_majority_date,2020-08-14,27,4,20,85.0,0.0647865853658536,26.444444444444443,0.5637254901960783,0.0,0.037037037037037035,0.037037037037037035,0.018518518518518517
quick_target100_mel96_f16000,pred_top1_majority_date,2020-08-15,1,1,1,43.0,0.0327743902439024,98.0,0.3571428571428571,0.0,0.0,0.0,0.0
quick_target100_mel96_f16000,pred_top1_majority_date,2020-08-18,8,2,8,224.0,0.1707317073170731,50.25,0.47916666666666663,0.125,0.125,0.125,0.125
quick_target100_mel96_f16000,pred_top1_majority_date,2020-08-19,11,5,9,222.0,0.1692073170731707,85.18181818181819,0.30569624262739414,0.0,0.0,0.09090909090909091,0.018181818181818184
quick_target100_mel96_f16000,pred_top1_majority_date,2020-08-21,243,3,40,164.0,0.125,2.2016460905349793,0.99074592800083,0.01646090534979424,0.17695473251028807,0.23868312757201646,0.10905349794238683
quick_target100_mel96_f16000,pred_top1_majority_date,2020-08-22,4,1,3,105.0,0.080030487804878,48.0,0.3125,0.0,0.0,0.0,0.0
quick_target100_mel96_f16000,pred_top1_majority_date,2020-09-25,1,1,1,155.0,0.6681034482758621,106.0,0.2735849056603773,0.0,0.0,1.0,0.2
quick_target100_mel96_f16000,pred_top1_majority_date,2020-10-30,25,6,22,275.0,0.6658595641646489,48.56,0.3246221023394936,0.0,0.04,0.04,0.02
quick_target100_mel96_f16000,pred_top1_majority_date,2020-11-04,1,1,1,19.0,0.0421286031042128,65.0,0.2461538461538461,0.0,0.0,0.0,0.0
quick_target100_mel96_f16000,pred_top1_majority_date,2020-11-06,1,1,1,9.0,0.0199556541019955,36.0,0.1666666666666666,0.0,0.0,0.0,0.0
quick_target100_mel96_f16000,pred_top1_majority_date,2020-11-12,1,1,1,55.0,0.1219512195121951,105.0,0.5238095238095238,0.0,0.0,0.0,0.0
quick_target100_mel96_f16000,pred_top1_majority_date,2020-11-22,1,1,1,38.0,0.0842572062084257,81.0,0.2592592592592592,0.0,0.0,0.0,0.0
quick_target100_mel96_f16000,pred_top1_majority_date,2020-11-28,4,1,3,32.0,0.0709534368070953,36.0,0.2777777777777778,0.0,0.0,0.0,0.0
quick_target100_mel96_f16000,pred_top1_majority_date,2020-11-29,6,1,6,17.0,0.0376940133037694,34.0,0.35294117647058815,0.0,0.0,0.0,0.0
quick_target100_mel96_f16000,pred_top1_majority_date,2020-11-30,3,1,3,23.0,0.0509977827050997,62.0,0.3548387096774193,0.0,0.0,0.0,0.0
quick_target100_mel96_f16000,pred_top1_majority_date,2020-12-04,23,5,18,309.0,0.1706239646604086,44.26086956521739,0.3182121630136753,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.052173913043478265
quick_target100_mel96_f16000,pred_top1_majority_date,2020-12-05,4,1,3,107.0,0.0590833793484262,51.0,0.6274509803921569,0.0,0.0,0.0,0.0
quick_target100_mel96_f16000,pred_top1_majority_date,2020-12-17,8,1,8,63.0,0.0347874102705687,38.0,0.2631578947368421,0.0,0.0,0.0,0.0
quick_target100_mel96_f16000,pred_top1_majority_date,2020-12-19,6,1,5,32.0,0.0176697956929873,43.0,0.1395348837209302,0.0,0.16666666666666666,0.16666666666666666,0.08333333333333333
quick_target100_mel96_f16000,pred_top1_majority_date,2020-12-20,2,1,2,57.0,0.0314743235781336,45.0,0.2888888888888888,0.0,0.0,0.5,0.1
quick_target100_mel96_f16000,pred_top1_majority_date,2020-12-27,13,1,12,80.0,0.0441744892324682,34.0,0.1470588235294117,0.0,0.07692307692307693,0.15384615384615385,0.05384615384615385
quick_target100_mel96_f16000,pred_top1_majority_date,2020-12-28,7,2,7,66.0,0.0364439536167863,57.0,0.3741496598639455,0.0,0.14285714285714285,0.14285714285714285,0.07142857142857142
quick_target100_mel96_f16000,pred_top1_majority_date,2020-12-29,1,1,1,93.0,0.0513528437327443,133.0,0.2105263157894736,0.0,0.0,0.0,0.0
quick_target100_mel96_f16000,pred_top1_majority_date,2021-01-04,4,1,4,36.0,0.0272108843537414,36.0,0.3888888888888889,0.0,0.0,0.0,0.0
quick_target100_mel96_f16000,pred_top1_majority_date,2021-01-08,8,3,6,206.0,0.1557067271352985,42.25,0.44493778280542984,0.0,0.0,0.0,0.0
quick_target100_mel96_f16000,pred_top1_majority_date,2021-01-10,1,1,1,65.0,0.0491307634164777,39.0,0.1794871794871795,0.0,0.0,0.0,0.0
quick_target100_mel96_f16000,pred_top1_majority_date,2021-01-16,2,1,1,44.0,0.0332577475434618,31.0,0.2258064516129032,0.0,0.0,0.0,0.0
quick_target100_mel96_f16000,pred_top1_majority_date,2021-01-21,2,1,2,47.0,0.0355253212396069,141.0,0.2340425531914893,0.0,0.0,0.0,0.0
quick_target100_mel96_f16000,pred_top1_majority_date,2021-01-31,2,1,2,47.0,0.0355253212396069,51.0,0.392156862745098,0.0,0.0,0.0,0.0
