model,date_basis,date,n,pred_top1_ships,true_ships,gallery_day_count,gallery_day_fraction,true_gallery_count_mean,true_ship_max_day_fraction_mean,hit1,hit3,hit5,Score
projection_clip_trainonly,true_ship_majority_date,2020-08-19,68,23,5,222.0,0.1692073170731707,91.30882352941177,0.30266864448774256,0.014705882352941176,0.014705882352941176,0.029411764705882353,0.01764705882352941
projection_clip_trainonly,true_ship_majority_date,2020-08-21,92,23,5,164.0,0.125,64.48913043478261,0.5569099142519722,0.0,0.0,0.010869565217391304,0.002173913043478261
projection_clip_trainonly,true_ship_majority_date,2020-08-22,9,4,1,105.0,0.080030487804878,48.0,0.3125,0.0,0.0,0.0,0.0
projection_clip_trainonly,true_ship_majority_date,2020-09-25,25,13,1,155.0,0.6681034482758621,106.0,0.2735849056603773,0.04,0.04,0.08,0.048
projection_clip_trainonly,true_ship_majority_date,2020-09-28,12,3,1,17.0,0.0732758620689655,91.0,0.1868131868131868,0.0,0.0,0.0,0.0
projection_clip_trainonly,true_ship_majority_date,2020-10-30,90,16,8,275.0,0.6658595641646489,66.15555555555555,0.3216506135502774,0.011111111111111112,0.011111111111111112,0.03333333333333333,0.015555555555555555
projection_clip_trainonly,true_ship_majority_date,2020-10-31,9,5,1,93.0,0.2251815980629539,28.0,0.5,0.0,0.3333333333333333,0.4444444444444444,0.18888888888888888
projection_clip_trainonly,true_ship_majority_date,2020-11-04,11,2,1,19.0,0.0421286031042128,65.0,0.24615384615384614,0.0,0.0,0.0,0.0
projection_clip_trainonly,true_ship_majority_date,2020-11-06,6,3,1,9.0,0.0199556541019955,36.0,0.1666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.2833333333333333
projection_clip_trainonly,true_ship_majority_date,2020-11-12,15,3,1,55.0,0.1219512195121951,105.0,0.5238095238095238,0.0,0.0,0.0,0.0
projection_clip_trainonly,true_ship_majority_date,2020-11-22,13,3,1,38.0,0.0842572062084257,81.0,0.2592592592592592,0.0,0.0,0.0,0.0
projection_clip_trainonly,true_ship_majority_date,2020-11-23,13,4,1,37.0,0.082039911308204,73.0,0.273972602739726,0.0,0.0,0.0,0.0
projection_clip_trainonly,true_ship_majority_date,2020-11-24,28,6,1,30.0,0.0665188470066518,181.0,0.0939226519337016,0.0,0.0,0.0,0.0
projection_clip_trainonly,true_ship_majority_date,2020-11-26,9,2,1,21.0,0.0465631929046563,65.0,0.3230769230769231,0.0,0.0,0.0,0.0
projection_clip_trainonly,true_ship_majority_date,2020-11-28,6,2,1,32.0,0.0709534368070953,36.0,0.2777777777777778,0.0,0.0,0.0,0.0
projection_clip_trainonly,true_ship_majority_date,2020-11-29,7,1,1,17.0,0.03769401330376939,34.0,0.3529411764705882,0.0,0.14285714285714285,0.2857142857142857,0.09999999999999999
projection_clip_trainonly,true_ship_majority_date,2020-11-30,10,2,1,23.0,0.050997782705099706,62.0,0.3548387096774194,0.0,0.0,0.0,0.0
projection_clip_trainonly,true_ship_majority_date,2020-12-02,18,3,1,43.0,0.0237437879624516,133.0,0.1729323308270676,0.0,0.0,0.0,0.0
projection_clip_trainonly,true_ship_majority_date,2020-12-04,86,20,7,309.0,0.1706239646604086,70.62790697674419,0.47102385335111413,0.011627906976744186,0.011627906976744186,0.03488372093023256,0.01627906976744186
