weights,w_r100s123_conservative,w_r80s123_balanced,w_r100s777_conservative,w_r100s123_val086,official_R@1,official_R@3,official_R@5,official_Score,official_top1_unique,official_top1_max_fraction,robust_mean_score,robust_min_score,robust_std_score,robust_mean_top1_max_fraction,balanced_score,conservative_score
"(0.0, 0.65, 0.25, 0.1)",0.0,0.65,0.25,0.1,0.04688546550569324,0.09778968519758875,0.14601473543201607,0.08198258539852646,30,0.5934360348292029,0.12006509678348802,0.09450961989676207,0.021200529018239624,0.4977355748018953,0.16028708690601506,0.12923739534690748
"(0.05, 0.65, 0.3, 0.0)",0.05,0.65,0.3,0.0,0.047555257870060284,0.09578030810448761,0.14534494306764903,0.08158070997990624,30,0.5874079035498996,0.12019438345215419,0.09324260910370719,0.022042837773355507,0.4977238524021068,0.16028521245142907,0.12820201453175983
"(0.05, 0.6, 0.35, 0.0)",0.05,0.6,0.35,0.0,0.047555257870060284,0.09511051574012057,0.14601473543201607,0.08151373074346953,32,0.5887474882786337,0.12019331711079462,0.09371187236039419,0.0216893164884601,0.500782179341155,0.16025086079266618,0.12836966692366664
"(0.2, 0.75, 0.05, 0.0)",0.2,0.75,0.05,0.0,0.043536503683858,0.0971198928332217,0.14668452779638314,0.08024112525117214,31,0.5853985264567984,0.12037100575149151,0.0948850305021117,0.02208499300978302,0.4973571637356661,0.1602448672851997,0.12768364050222797
"(0.15, 0.7, 0.1, 0.05)",0.15,0.7,0.1,0.05,0.04554588077695914,0.09778968519758875,0.144675150703282,0.0810448760884126,31,0.5900870730073677,0.12014328568491572,0.09511966213045517,0.02122229242754524,0.4993350095741963,0.16023493188745075,0.1286047071536402
"(0.05, 0.85, 0.1, 0.0)",0.05,0.85,0.1,0.0,0.046215673141326186,0.09444072337575352,0.14668452779638314,0.08077695914266578,32,0.579370395177495,0.1195239481150859,0.09366494603472547,0.022351624490082714,0.4895944418812439,0.16022782099849017,0.1276094321600285
"(0.15, 0.65, 0.15, 0.05)",0.15,0.65,0.15,0.05,0.046215673141326186,0.09778968519758875,0.14400535833891492,0.0812458137977227,31,0.5914266577361018,0.12038512493610724,0.09460347254809948,0.021567595441005977,0.5012339189212321,0.1602186763474644,0.12854755007177243
"(0.15, 0.8, 0.05, 0.0)",0.15,0.8,0.05,0.0,0.043536503683858,0.09511051574012057,0.14869390488948425,0.08004018754186203,32,0.5827193569993302,0.12007723583358194,0.09496944052656323,0.021916560873150737,0.49396174720197317,0.16019424008882605,0.12752490780514364
"(0.1, 0.65, 0.25, 0.0)",0.1,0.65,0.25,0.0,0.046215673141326186,0.09511051574012057,0.14534494306764903,0.08070997990622908,30,0.5900870730073677,0.12085895360432053,0.0942749882684186,0.021993605995612696,0.49954506074154,0.16019336669365375,0.1278474740404384
"(0.0, 0.85, 0.15, 0.0)",0.0,0.85,0.15,0.0,0.046215673141326186,0.09444072337575352,0.14869390488948425,0.081178834561286,31,0.5766912257200268,0.11913720173460138,0.09267949319568278,0.02272104222876234,0.4855017943027974,0.16015209903572472,0.1275185811591274
"(0.1, 0.65, 0.05, 0.2)",0.1,0.65,0.05,0.2,0.046215673141326186,0.0971198928332217,0.14534494306764903,0.08131279303415942,30,0.5994641661085064,0.12038679703479804,0.09671515720319099,0.019965493202296878,0.49428631180576604,0.16013754375427697,0.1296703716357549
"(0.2, 0.7, 0.05, 0.05)",0.2,0.7,0.05,0.05,0.044876088412592094,0.0971198928332217,0.14400535833891492,0.08037508372404553,33,0.5880776959142666,0.12030644184112291,0.09530736743312998,0.021596127976404204,0.49826272091949075,0.16012355489459343,0.12802876744061054
"(0.2, 0.6, 0.15, 0.05)",0.2,0.6,0.15,0.05,0.04554588077695914,0.09578030810448761,0.14534494306764903,0.08057602143335565,31,0.5920964501004689,0.12093964751378247,0.09483810417644298,0.021928105468079696,0.50245847258128,0.1601202535202893,0.12799507352157713
"(0.1, 0.8, 0.05, 0.05)",0.1,0.8,0.05,0.05,0.04420629604822505,0.09778968519758875,0.14534494306764903,0.08050904219691896,30,0.5867381111855325,0.12003825610637234,0.0951196621304552,0.021648766382331,0.49246700499230406,0.16009641269068903,0.12806887326214655
