weights,split,R@1,R@3,R@5,Score,top1_unique_ships,top1_max_ship_fraction,top1_entropy
"(0.0, 0.05, 0.1, 0.85)",ais_group_random20,0.0380818053596615,0.10202162670427832,0.15702867889045605,0.08105312646920546,37,0.38034790785143396,2.3966504894714706
"(0.0, 0.05, 0.15, 0.8)",random20,0.08345752608047691,0.17436661698956782,0.2444113263785395,0.1429210134128167,29,0.5834575260804769,1.779838610200146
"(0.0, 0.05, 0.15, 0.8)",latest20,0.07302533532041729,0.1482861400894188,0.22429210134128166,0.12585692995529063,34,0.5804769001490313,1.6938892313412677
"(0.0, 0.05, 0.15, 0.8)",earliest20,0.08271236959761549,0.146795827123696,0.19746646795827125,0.1248882265275708,33,0.4150521609538003,2.3457112063826893
"(0.0, 0.05, 0.15, 0.8)",month_latest,0.044580009385265136,0.10370717972782731,0.1642421398404505,0.08625058657907086,45,0.24636320976067574,2.564860706709831
"(0.0, 0.05, 0.15, 0.8)",ais_group_random20,0.040432534085566525,0.10578279266572638,0.15937940761636107,0.0838269863657734,36,0.4151386929948284,2.3344105273998603
"(0.0, 0.05, 0.2, 0.75)",random20,0.08345752608047691,0.17585692995529062,0.2444113263785395,0.14336810730253355,27,0.5931445603576752,1.7311888559406299
"(0.0, 0.05, 0.2, 0.75)",latest20,0.07451564828614009,0.1512667660208644,0.22652757078986588,0.12794336810730256,33,0.5916542473919523,1.6580166524551796
"(0.0, 0.05, 0.2, 0.75)",earliest20,0.08196721311475409,0.14903129657228018,0.20119225037257824,0.12593144560357675,33,0.4314456035767511,2.2993070374521185
"(0.0, 0.05, 0.2, 0.75)",month_latest,0.04504927264195214,0.10417644298451431,0.1651806663538245,0.08681370248709527,43,0.2346316283435007,2.5466394106469603
"(0.0, 0.05, 0.2, 0.75)",ais_group_random20,0.045133991537376586,0.10484250117536437,0.1607898448519041,0.08617771509167843,35,0.461683121767748,2.2275072930203894
"(0.0, 0.05, 0.25, 0.7)",random20,0.08420268256333831,0.17734724292101342,0.2414307004470939,0.14359165424739195,28,0.5968703427719821,1.7143320713242014
"(0.0, 0.05, 0.25, 0.7)",latest20,0.07451564828614009,0.15201192250372578,0.23099850968703428,0.12906110283159464,31,0.5931445603576752,1.639061108510175
"(0.0, 0.05, 0.25, 0.7)",earliest20,0.08196721311475409,0.15052160953800298,0.20938897168405365,0.12801788375558867,34,0.4485842026825633,2.262431938417216
"(0.0, 0.05, 0.25, 0.7)",month_latest,0.045518535898639134,0.10511496949788832,0.1656499296105115,0.08742374472078837,38,0.22712341623650867,2.529871769625861
"(0.0, 0.05, 0.25, 0.7)",ais_group_random20,0.04748472026328162,0.1081335213916314,0.15796897038081806,0.08777621062529384,35,0.48848142924306537,2.1650529705710175
"(0.0, 0.05, 0.3, 0.65)",random20,0.08420268256333831,0.17883755588673622,0.2429210134128167,0.14433681073025337,28,0.6005961251862891,1.6972190668302392
"(0.0, 0.05, 0.3, 0.65)",latest20,0.07526080476900149,0.15499254843517138,0.23546944858420268,0.13122205663189268,30,0.5961251862891207,1.6254626981619396
"(0.0, 0.05, 0.3, 0.65)",earliest20,0.08196721311475409,0.14903129657228018,0.21460506706408347,0.1286140089418778,33,0.46572280178837555,2.213046082935578
"(0.0, 0.05, 0.3, 0.65)",month_latest,0.04598779915532614,0.10370717972782731,0.16752698263725951,0.08761145002346316,39,0.21961520412951666,2.526562195555332
"(0.0, 0.05, 0.3, 0.65)",ais_group_random20,0.051716031969910675,0.11048425011753643,0.15937940761636107,0.09087917254348848,35,0.5171603196991067,2.0984352802874042
"(0.0, 0.05, 0.35, 0.6)",random20,0.08643815201192251,0.18032786885245902,0.2473919523099851,0.146795827123696,28,0.6020864381520119,1.702335884647612
"(0.0, 0.05, 0.35, 0.6)",latest20,0.07600596125186289,0.1527570789865872,0.23397913561847988,0.13062593144560358,28,0.5991058122205664,1.6088100558713012
"(0.0, 0.05, 0.35, 0.6)",earliest20,0.08047690014903129,0.1512667660208644,0.21535022354694486,0.12868852459016394,31,0.4783904619970194,2.160624388932889
"(0.0, 0.05, 0.35, 0.6)",month_latest,0.04692632566870014,0.10370717972782731,0.1661191928671985,0.08779915532613797,39,0.20788362271234162,2.527860906503699
"(0.0, 0.05, 0.35, 0.6)",ais_group_random20,0.0535966149506347,0.11001410437235543,0.1622002820874471,0.09224259520451339,34,0.535966149506347,2.0491155582974487
"(0.0, 0.05, 0.4, 0.55)",random20,0.08941877794336811,0.17883755588673622,0.2459016393442623,0.14754098360655737,28,0.6058122205663189,1.6827745021811311
"(0.0, 0.05, 0.4, 0.55)",latest20,0.07600596125186289,0.1527570789865872,0.23621460506706407,0.13107302533532042,28,0.6005961251862891,1.5990089254195743
"(0.0, 0.05, 0.4, 0.55)",earliest20,0.08122205663189269,0.15201192250372578,0.21385991058122206,0.1289865871833085,31,0.4858420268256334,2.131758458320184
"(0.0, 0.05, 0.4, 0.55)",month_latest,0.04786485218207415,0.10511496949788832,0.1670577193805725,0.08887846081651807,40,0.2013139371187236,2.5330233799957127
"(0.0, 0.05, 0.4, 0.55)",ais_group_random20,0.0535966149506347,0.11095439586271744,0.1626704278326281,0.0926187118006582,33,0.5500705218617772,2.007384230038977
"(0.0, 0.05, 0.45, 0.5)",random20,0.09090909090909091,0.18181818181818182,0.2473919523099851,0.149478390461997,27,0.6110283159463488,1.6456140838758468
"(0.0, 0.05, 0.45, 0.5)",latest20,0.07451564828614009,0.15499254843517138,0.23397913561847988,0.13055141579731744,27,0.6028315946348733,1.5888076641105489
"(0.0, 0.05, 0.45, 0.5)",earliest20,0.07898658718330849,0.15052160953800298,0.21535022354694486,0.1277198211624441,31,0.496274217585693,2.095283466670122
"(0.0, 0.05, 0.45, 0.5)",month_latest,0.04927264195213515,0.10511496949788832,0.1661191928671985,0.08939465039887377,41,0.19286719849835757,2.532455240378395
"(0.0, 0.05, 0.45, 0.5)",ais_group_random20,0.05500705218617771,0.11142454160789844,0.1612599905970851,0.0931828866948754,32,0.5637047484720263,1.9580645387108375
"(0.0, 0.05, 0.5, 0.45)",random20,0.09090909090909091,0.18181818181818182,0.2481371087928465,0.1496274217585693,28,0.6117734724292101,1.6445014594703578
"(0.0, 0.05, 0.5, 0.45)",latest20,0.07377049180327869,0.1557377049180328,0.23323397913561847,0.13025335320417286,28,0.6050670640834576,1.5873488100764541
"(0.0, 0.05, 0.5, 0.45)",earliest20,0.07824143070044709,0.15350223546944858,0.21684053651266766,0.12853949329359166,31,0.5089418777943369,2.0354016093198317
"(0.0, 0.05, 0.5, 0.45)",month_latest,0.04927264195213515,0.10793054903801032,0.1647114030971375,0.08995776630689817,40,0.18817456593148757,2.5412897849913416
"(0.0, 0.05, 0.5, 0.45)",ais_group_random20,0.056417489421720736,0.11142454160789844,0.15702867889045605,0.09304184297132112,32,0.5759285378467325,1.9167945384058955
"(0.0, 0.05, 0.55, 0.4)",random20,0.08941877794336811,0.1795827123695976,0.2488822652757079,0.1483606557377049,28,0.6117734724292101,1.6403093483776412
"(0.0, 0.05, 0.55, 0.4)",latest20,0.07228017883755589,0.1572280178837556,0.23323397913561847,0.1299552906110283,27,0.6065573770491803,1.572853135508748
"(0.0, 0.05, 0.55, 0.4)",earliest20,0.07749627421758569,0.15201192250372578,0.21460506706408347,0.1272727272727273,31,0.5156482861400894,1.9963001098094773
"(0.0, 0.05, 0.55, 0.4)",month_latest,0.048803378695448145,0.10793054903801032,0.1661191928671985,0.09000469263256687,39,0.18207414359455654,2.544749288170118
"(0.0, 0.05, 0.55, 0.4)",ais_group_random20,0.05829807240244476,0.11048425011753643,0.15984955336154208,0.09426422190879172,31,0.5914433474377057,1.8478698182448496
"(0.0, 0.05, 0.6, 0.35)",random20,0.09090909090909091,0.18181818181818182,0.2473919523099851,0.149478390461997,29,0.6102831594634873,1.639213869750796
"(0.0, 0.05, 0.6, 0.35)",latest20,0.07004470938897168,0.1602086438152012,0.23025335320417287,0.12913561847988078,27,0.6043219076005961,1.5764947411211438
